CommandVerb,ExternalElement,Mnemonic,APID,OPCODE,Constraints,GroundOnly,Protected,ShortDescription,LongDescription,BitLength,Offset,DataType,Range,Default,Units,Conversion,SafetyLevel,BitPattern,
set,cmd,perf_mon,0x0,0x20,,,,"Set Performance Monitor State","",96,,,,,,,,18000000000520C200000000,
,,state,,,,,,"New state for perf mon","",,64,D8,,,none,0/OFF 1/ON 2/MAX ,,,
des,cmd,reset,0x0,0x21,,,,"Reset DES Statistics","",64,,,,,,,,18000000000121C7,
des,cmd,add_task,0x0,0x22,,,,"Add a task to the DES schedule","",128,,,,,,,,18000000000922CC0000000000000000,
,,taskID,,,,,,"Task ID","",,64,D32,,,none,0/TLM 1/CMD 2/HK 3/SEQ 4/MEM 5/LOG 6/FP 7/UHF_CMD 8/UHF_TLM 9/UHF_HK 10/ADCS 11/SD_HK 12/SD_TLM 13/DAXSS 14/CIP 15/SBAND 16/MODE 17/TABLE 18/SBAND_TLM 19/MAX_TASKS ,,,
,,slice,,,,,,"Slice to add task to","",,96,U32,,,none,,,,
des,cmd,sub_task,0x0,0x23,,,,"Remove a task from the DES schedule","",96,,,,,,,,18000000000523C100000000,
,,slice,,,,,,"Slice to remove task","",,64,U32,,,none,,,,
des,cmd,add_back,0x0,0x24,,,,"Add a background task to the DES","",96,,,,,,,,18000000000524C600000000,
,,taskID,,,,,,"Task ID","",,64,U32,,,none,,,,
des,cmd,sub_back,0x0,0x25,,,,"Remove a background task from the DES","",96,,,,,,,,18000000000525C700000000,
,,taskID,,,,,,"Task ID","",,64,U32,,,none,,,,
des,cmd,set_time,0x0,0x26,,,,"Set the current time (seconds)","",128,,,,,,,,18000000000926C80000000000000000,
,,time,,,,,,"New time (seconds)","",,64,U32,,,none,,,,
,,effective,,,,,,"Old time at which new time becomes effective (zero if immediate)","",,96,U32,,0,none,,,,
mem,cmd,dump,0x0,0x50,,,,"Dump Memory Section","",160,,,,,,,,18000000000D50BA000000000000000000000000,
,,section,,,,,,"Section to dump","",,64,D32,,,none,0/FLASH ,,,
,,offset,,,,,,"Offset within section","",,96,U32,,,none,,,,
,,length,,,,,,"Number of bytes to dump","",,128,U32,,,none,,,,
mem,cmd,load,0x0,0x51,,,,"Load Memory Section","",1184,,,,,,,,18000000008D513B0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
,,section,,,,,,"Section to load","",,64,D32,,,none,0/FLASH ,,,
,,offset,,,,,,"Offset within section","",,96,U32,,,none,,,,
,,length,,,,,,"Number of bytes to load","",,128,U32,,,none,,,,
,,buffer,,,,,,"Data to load","",,160,U1024,,,none,,,,
mem,cmd,load_dword,0x0,0x56,,,,"Write DWORD to memory section","",160,,,,,,,,18000000000D56BC000000000000000000000000,
,,section,,,,,,"Section to load","",,64,D32,,,none,0/FLASH ,,,
,,offset,,,,,,"Offset within section","",,96,U32,,,none,,,,
,,data,,,,,,"Data to write","",,128,U32,,,none,,,,
mem,cmd,load_word,0x0,0x57,,,,"Write WORD to memory section","",160,,,,,,,,18000000000D57BD000000000000000000000000,
,,section,,,,,,"Section to load","",,64,D32,,,none,0/FLASH ,,,
,,offset,,,,,,"Offset within section","",,96,U32,,,none,,,,
,,data,,,,,,"Data to write","",,128,U16,,,none,,,,
mem,cmd,load_byte,0x0,0x58,,,,"Write BYTE to memory section","",160,,,,,,,,18000000000D58B2000000000000000000000000,
,,section,,,,,,"Section to load","",,64,D32,,,none,0/FLASH ,,,
,,offset,,,,,,"Offset within section","",,96,U32,,,none,,,,
,,data,,,,,,"Data to write","",,128,U8,,,none,,,,
mem,cmd,erase,0x0,0x52,,,,"Erase Memory Section","",160,,,,,,,,18000000000D52B8000000000000000000000000,
,,section,,,,,,"Section to erase","",,64,D32,,,none,0/FLASH ,,,
,,offset,,,,,,"Offset within section","",,96,U32,,,none,,,,
,,length,,,,,,"Number of bytes to erase","",,128,U32,,,none,,,,
mem,cmd,xsum_section,0x0,0x53,,,,"Checksum Memory Section","",160,,,,,,,,18000000000D53B9000000000000000000000000,
,,section,,,,,,"Section to checksum","",,64,D32,,,none,0/FLASH ,,,
,,offset,,,,,,"Offset within section","",,96,U32,,,none,,,,
,,length,,,,,,"Number of bytes to checksum","",,128,U32,,,none,,,,
mem,cmd,abort,0x0,0x54,,,,"Abort Memory Operation","",64,,,,,,,,18000000000154B2,
mem,cmd,reset,0x0,0x55,,,,"Reset Flash","",96,,,,,,,,18000000000555B700000000,
,,chip,,,,,,"","",,64,U32,,,none,,,,
fp,cmd,reset,0x0,0x10,,,,"Reset counters","",64,,,,,,,,18000000000110F6,
fp,cmd,reset_results,0x0,0x11,,,,"Reset result counters","",96,,,,,,,,18000000000511F300000000,
,,id,,,,,,"ID of watch to reset, max if all","",,64,U32,,,none,,,,
fp,cmd,validate,0x0,0x12,,,,"Validate watch table","",64,,,,,,,,18000000000112F4,
fp,cmd,set_task_state,0x0,0x13,,,,"Set Task state","",96,,,,,,,,18000000000513F100000000,
,,state,,,,,,"New state of task","",,64,D32,,,none,0/DISABLED 1/PASSIVE 2/ENABLED ,,,
fp,cmd,set_watch_state,0x0,0x14,,,,"Set Watch state","",128,,,,,,,,18000000000914FA0000000000000000,
,,id,,,,,,"Id of watch to set","",,64,U32,,,none,,,,
,,state,,,,,,"New state of watch","",,96,D32,,,none,0/DISABLED 1/PASSIVE 2/ENABLED ,,,
fp,cmd,dump_watch,0x0,0x15,,,,"Dump Watch table","",64,,,,,,,,18000000000115F3,
fp,cmd,dump_results,0x0,0x16,,,,"Dump Results table","",64,,,,,,,,18000000000116F0,
fp,cmd,set_watch_values,0x0,0x17,,,,"Set Watch values","",288,,,,,,,,18000000001D17ED00000000000000000000000000000000000000000000000000000000,
,,id,,,,,,"Id of watch to set","",,64,U32,,,none,,,,
,,mask,,,,,,"Value mask","",,96,U32,,,none,,,,
,,threshold,,,,,,"Watchpoint threshold","",,128,U32,,,none,,,,
