ExternalElement,ItemName,Packet,ContainerType,RepeatMethod,APID,ShortDescription,LongDescription,DataType,Units,Conversion,Limits,SystemName,Source,FSWDataType,DisplayFormat,Equation,
SC_FSW_1,VERSION,beacon,,,1,"","",U3,,,,,FSW,,,,
SC_FSW_1,TYPE,beacon,,,1,"","",U1,,,,,FSW,,,,
SC_FSW_1,SEC_HDR_FLAG,beacon,,,1,"","",U1,,,,,FSW,,,,
SC_FSW_1,PKT_APID,beacon,,,1,"","",U11,,,,,FSW,,,,
SC_FSW_1,SEQ_FLGS,beacon,,,1,"","",U2,,,,,FSW,,,,
SC_FSW_1,SRC_SEQ_CTR,beacon,,,1,"","",U14,,,,,FSW,,,,
SC_FSW_1,PKT_LEN,beacon,,,1,"","",U16,,,,,FSW,,,,
SC_FSW_1,SHCOARSE,beacon,,,1,"Seconds count","",U32,dn,,,,FSW,,,,
SC_FSW_1,SHFINE,beacon,,,1,"Subsecond count","",U16,dn,,,,FSW,,,,
beacon,cmd_recv_count,beacon,,,1,"Command receive count","",U8,,,,,FSW,,,,
beacon,cmd_fail_count,beacon,,,1,"Command reject count","",U8,,,,,FSW,,,,
beacon,cmd_succ_count,beacon,,,1,"Command success count","",U8,,,,,FSW,,,,
